mnn,trade_name,drug_id,file_name
Абемациклиб,Зенлистик,ca56c862-7110-4a8f-ad46-ecb8008f14f0,9636e639-9f46-4fb8-8d53-da4bddfd0c4b.pdf
Авелумаб,Бавенсио,38de6a87-82fe-442b-9636-a61d7738d121,863f6555-9a46-4720-bd87-9ee8ef3436aa.pdf
Авелумаб,Бавенсио,858972d5-c364-4ecb-bfcd-7fae540ce594,9d3baa37-5171-4fb7-abfb-b53655cd0b22.pdf
Азацитидин,Азацитидин-Ника,c7fc7cb6-c322-433f-b8b6-78309117c838,216c8cf9-0cdf-42a6-901a-44ed00c8b548.pdf
Азацитидин,Фармазацит,5ecb5ffc-60b8-4280-ae99-f85b4153d642,45de0dd5-64fa-403d-b599-76b9df9c1b64.pdf
Азацитидин,Джоцитадин,1e482f7b-49af-4412-8b8a-1d65ebed653d,59cb8af2-29ed-4c29-972e-19fa88d788be.pdf
Азацитидин,Азацитидин Эльфа,349a4687-605b-45e2-aefc-ce8aab1d542c,afbee0f1-f99e-4c24-91d7-134606e2040b.pdf
Азацитидин,АЗАЦИТИДИН-ТЛ,3aa7f813-2195-42b8-b8e8-52488cad4c93,d591c764-01c3-469e-a081-c498f3dcd1c7.pdf
Азацитидин,Онурег,1ccd3050-f138-4e11-a74c-b950b1107333,4a950323-f8c2-4292-9858-59b3591c9b44.pdf
Азацитидин,Вайдаза,0b3f74b1-e8fb-405e-bb8a-c3994927ca2e,5a1ebe55-1f7b-443e-a2f6-46d77bd08074.pdf
Азацитидин,АЗАЦИТИДИН-ПРОМОМЕД,817d142d-73bc-4cca-9811-574131e728b4,6a877eb5-2e0f-4fa2-bedd-cd8b1aa0c55e.pdf
Акситиниб,Акситиниб,b8b8c831-d43a-4230-80d3-fa28ec0e338a,10034290-0be1-4080-8da0-afcbe942a82e.pdf
Акситиниб,АКСИТИНИБ-ПРОМОМЕД,f740afb2-cda7-4ea5-b664-e301572f773a,1b8eea2e-5c53-4e06-8982-b7edd4c55159.pdf
Акситиниб,Инлита,b49e94f7-2553-4631-b49a-baafcdda95f3,237cf73e-af1e-49ee-af73-7a3f121608f2.pdf
Акситиниб,Инлита,486df3d0-5626-435c-85ed-0d8cfc910fe4,af2607fd-1618-4d65-aeab-d73b6ee86cf2.pdf
Акситиниб,АКСИТИНИБ-ХИМРАР,5234d969-4578-403a-85a3-2e1c65ca27a7,c5c1c9ba-f473-4474-bd00-10ba56b548d5.pdf
Алектиниб,АЛЕЦЕНЗА,72603dc4-5e2d-4e6f-ba4e-e1a1ee63f0b1,57bc0ff3-b8d3-4d69-b4c9-a98e12036376.pdf
Алпелисиб,Пикрэй,7f1c80a3-f6a6-47cc-b945-d40f2045061c,10856e35-8729-4e22-8bae-eb6f1720b619.pdf
Анастрозол,АНАЗАЛЕС,1c90cdea-0f19-4f4b-bffd-0a6c1213269d,09dbf80f-3cfe-4a2c-82c4-7683ab829172.pdf
Анастрозол,Селана,92723143-7563-4528-811a-4756612841f8,2a64decb-d44c-48e1-8c36-caaa5b515538.pdf
Анастрозол,Брасер,2015c5d0-bc9f-4f04-962c-3b03a587aea4,4ccbba96-d51c-4f24-afb2-116825d5acd7.pdf
Анастрозол,Анастрозол-Промомед,b9c13a28-ea1a-41aa-8dd5-6bf8f909521b,d48ef54d-05ce-4a24-8ad8-bcd344ce21fc.pdf
Анастрозол,Анастрозол-Тева,825eccba-1495-47f4-af2f-42e6a3fc509d,f9f887a4-ba26-4cd4-b385-0c34453fc521.pdf
Анастрозол,Анастрозол,dc199a99-14a3-4c76-8866-2261c84376a6,026f86ab-6a65-4ce2-bcee-0f8285b64024.pdf
Анастрозол,Анастрозол,6de3e06d-5cd7-41d2-8c46-614452202b3f,75f21b3f-edb1-4898-a65d-f942b0fb9a3a.pdf
Анастрозол,Анастрозол,c744a4d7-2b7e-4af0-a70c-19dbd83126ee,c81f6359-272c-429a-9aa7-8c8b73d7db4f.pdf
Анастрозол,Анастрозол,a5badb9a-bad1-4b23-b9df-dbc9e5d83839,ЛП-003171[2020]_0.pdf
